"Status","Name","Duration in ms","Description"
"passed","src/test/resources/features/usermanagement.feature:4","2616",""
"passed","src/test/resources/features/recruitment.feature:15","3604",""
"passed","src/test/resources/features/login.feature:2","4768",""
"passed","src/test/resources/features/usermanagement.feature:9","8687",""
"passed","src/test/resources/features/recruitment.feature:9","8069",""
"passed","src/test/resources/features/recruitment.feature:4","2359",""
"passed","src/test/resources/features/usermanagement.feature:16","4778",""
