"Status","Name","Duration in ms","Description"
"passed","src/test/resources/features/usermanagement.feature:9","7624",""
"passed","src/test/resources/features/recruitment.feature:4","1306",""
"passed","src/test/resources/features/usermanagement.feature:16","3938",""
"passed","src/test/resources/features/recruitment.feature:9","4165",""
"passed","src/test/resources/features/login.feature:2","4420",""
"passed","src/test/resources/features/usermanagement.feature:4","1541",""
"passed","src/test/resources/features/recruitment.feature:15","1851",""
